game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Back to Saturn X Radio Report,1,1,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Postal Blowfish,2,2,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,The Room Taking Shape,3,3,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,A Good Flying Bird,4,4,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Total Exposure,5,5,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Mix Up the Satellite,6,6,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Metal Mothers,7,7,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Get Out of My Stations I,8,8,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Some Drilling Implied,9,9,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,A Proud and Booming Industry,10,10,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,The Colossus Crawls,11,11,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Underground Initiations,12,12,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,I'll Replace You With Machines,13,13,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Big Chief Chinese,14,14,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Tricylic Looper,15,15,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Get Out of My Stations II,16,16,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Navigating Flood Regions,17,17,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Cyclone Utilities,18,18,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Bingo Pool Hall of Blood,19,19,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,U.S. Mustard Company,20,20,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Failed Experiments,21,21,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Gonna Never Have to Die,22,22,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Get Out of My Stations III,23,23,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Tough Skin River,24,24,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,The Unsinkable Fats Domino,25,25,false
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,Optical Hopscotch,31,31,true
Back to Saturn X - Episode 1: Get Out Of My Stations,DOOM2.WAD,btsx_e1a.wad,2,2012-00-00,Get Out Of My Stations,1,The Hard Way,32,32,true
