game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Master Levels for Doom II,DOOM2.WAD,ATTACK.WAD,3,1996-12-26,Master Levels for Doom II,1,ATTACK.WAD,1,1,false
Master Levels for Doom II,DOOM2.WAD,CANYON.WAD,3,1996-12-26,Master Levels for Doom II,1,CANYON.WAD,2,2,false
Master Levels for Doom II,DOOM2.WAD,CATWALK.WAD,3,1996-12-26,Master Levels for Doom II,1,CATWALK.WAD,3,3,false
Master Levels for Doom II,DOOM2.WAD,COMBINE.WAD,3,1996-12-26,Master Levels for Doom II,1,COMBINE.WAD,4,4,false
Master Levels for Doom II,DOOM2.WAD,FISTULA.WAD,3,1996-12-26,Master Levels for Doom II,1,FISTULA.WAD,5,5,false
Master Levels for Doom II,DOOM2.WAD,GARRISON.WAD,3,1996-12-26,Master Levels for Doom II,1,GARRISON.WAD,6,6,false
Master Levels for Doom II,DOOM2.WAD,MANOR.WAD,3,1996-12-26,Master Levels for Doom II,1,MANOR.WAD,7,7,false
Master Levels for Doom II,DOOM2.WAD,PARADOX.WAD,3,1996-12-26,Master Levels for Doom II,1,PARADOX.WAD,8,8,false
Master Levels for Doom II,DOOM2.WAD,SUBSPACE.WAD,3,1996-12-26,Master Levels for Doom II,1,SUBSPACE.WAD,9,9,false
Master Levels for Doom II,DOOM2.WAD,SUBTERRA.WAD,3,1996-12-26,Master Levels for Doom II,1,SUBTERRA.WAD,10,10,false
Master Levels for Doom II,DOOM2.WAD,TTRAP.WAD,3,1996-12-26,Master Levels for Doom II,1,TTRAP.WAD,11,11,false
Master Levels for Doom II,DOOM2.WAD,VIRGIL.WAD,3,1996-12-26,Master Levels for Doom II,1,VIRGIL.WAD,12,12,false
Master Levels for Doom II,DOOM2.WAD,MINOS.WAD,3,1996-12-26,Master Levels for Doom II,1,MINOS.WAD,13,13,false
Master Levels for Doom II,DOOM2.WAD,BLOODSEA.WAD,3,1996-12-26,Master Levels for Doom II,1,BLOODSEA.WAD,14,14,false
Master Levels for Doom II,DOOM2.WAD,MEPHISTO.WAD,3,1996-12-26,Master Levels for Doom II,1,MEPHISTO.WAD,15,15,false
Master Levels for Doom II,DOOM2.WAD,NESSUS.WAD,3,1996-12-26,Master Levels for Doom II,1,NESSUS.WAD,16,16,false
Master Levels for Doom II,DOOM2.WAD,GERYON.WAD,3,1996-12-26,Master Levels for Doom II,1,GERYON.WAD,17,17,false
Master Levels for Doom II,DOOM2.WAD,VESPERAS.WAD,3,1996-12-26,Master Levels for Doom II,1,VESPERAS.WAD,18,18,false
Master Levels for Doom II,DOOM2.WAD,BLACKTWR.WAD,3,1996-12-26,Master Levels for Doom II,1,BLACKTWR.WAD,19,19,false
Master Levels for Doom II,DOOM2.WAD,TEETH.WAD,3,1996-12-26,Master Levels for Doom II,1,TEETH.WAD,20,20,false
Master Levels for Doom II,DOOM2.WAD,TEETH.WAD,3,1996-12-26,Master Levels for Doom II,1,TEETH.WAD,21,21,true
