game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Sunset,1,1,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Rusty Rage,2,2,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Cargo Depot,3,3,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Seclusion,4,4,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Crimson Tide,5,5,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Hillside Siege,6,6,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Showdown,7,7,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Beast Island,8,8,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Castle Gardens,9,9,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Toxic Touch,10,10,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Nemesis,11,11,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Entropy,12,12,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Suicidal Tendencies,13,13,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Overwhelming Odds,14,14,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Bulls on Parade,15,15,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Mutual Destruction,16,16,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Nukefall,17,17,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Lake Poison,18,18,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Alien Resurrection,19,19,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Misri Halek,20,20,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,One Flew Over The Caco's Nest,21,21,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Rubicon,22,22,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Blood Sacrifice,23,23,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Clandestine Complex,24,24,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Demonic Hordes,25,25,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Dark Dome,26,26,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Stench of Evil,27,27,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Whispering Shadows,28,28,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Fire Walk With Me,29,29,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Point Dreadful,30,30,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,Killer Colours,31,31,false
Alien Vendetta,DOOM2.WAD,AV.WAD,3,2002-12-26,Alien Vendetta,1,No Guts No Glory,32,32,false
