game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Archaic,1,Inauguration,1,1,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Archaic,1,Subterranean,2,2,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Archaic,1,Drain,3,3,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Archaic,1,Regicide,4,4,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Archaic,1,Demon,5,5,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Automation,2,Reconnect,1,6,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Automation,2,Facilitate,2,7,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Automation,2,Stench,3,8,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Automation,2,Decrepitude,4,9,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Automation,2,Creation,5,10,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Crystalline,3,Wanderer,1,11,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Crystalline,3,Brisk,2,12,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Crystalline,3,Pathfinder,3,13,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Crystalline,3,Frimaire,4,14,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Crystalline,3,Cryonology,5,15,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Brutality,4,Neutralize,1,16,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Brutality,4,Segregation,2,17,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Brutality,4,Subterfuge,3,18,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Brutality,4,Dehydration,4,19,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Brutality,4,Convolute,5,20,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Descension,5,Imperishable,1,21,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Descension,5,Viscera,2,22,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Descension,5,Tribulation,3,23,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Descension,5,Gossamer,4,24,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Descension,5,Slave,5,25,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Hallowed,6,Transcendence,1,26,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Hallowed,6,Heliopolis,2,27,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Hallowed,6,Judgement,3,28,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Hallowed,6,Elysium,4,29,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Hallowed,6,Eternity,5,30,false
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Secret,7,Imperator,1,31,true
Eviternity,DOOM2.WAD,Eviternity.wad,11,2018-12-10,Secret,7,Anagnorisis,2,32,true
