game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Into The Gate,1,1,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Gateway Lab,2,2,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,The Dumpster,3,3,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,The Garden Terminal,4,4,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Core Infection,5,5,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,The Round Crossroads,6,6,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Arachnophobia,7,7,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,The Jail,8,8,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Knockout,9,9,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Chambers of War,10,10,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Underground Base,11,11,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Great Halls of Fire,12,12,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Last Look at Eden,13,13,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,City in the Clouds,14,14,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Gates to Hell,15,15,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,The Path,16,16,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,The Black Towers,17,17,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Hard Attack,18,18,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Everything Dies,19,19,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Judgement Day,20,20,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Siege,21,21,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Resistance is Futile,22,22,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Ascending to the Stars,23,23,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Post Mortem,24,24,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Dead Progressive,25,25,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Afterlife,26,26,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Cyberpunk,27,27,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Top Hell,28,28,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Temple of Feat,29,29,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Hell Revealed,30,30,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,The Descent,31,31,false
Hell Revealed,DOOM2.WAD,HR.WAD,3,1997-05-02,Hell Revealed,1,Mostly Harmful,32,32,false
