game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,IGNITION,1,1,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,High Voltage,2,2,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Shackled,3,3,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Reluctant Pain,4,4,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Insatanity,5,5,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Revival,6,6,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Not That Simple,7,7,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Ballistics,8,8,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,The Siege II,9,9,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Base Blaze,10,10,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Raw Hatred,11,11,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Anti Static,12,12,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Hardcore,13,13,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Metal Meltdown,14,14,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,The Path II,15,15,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,The Chapel of Black Granite,16,16,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,An Eye For An Eye,17,17,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Excess Meat,18,18,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Mind Trap,19,19,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Fear of the Dark,20,20,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Conflux,21,21,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Sewer Slaughter,22,22,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,When The Heavens Fall,23,23,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,The Inmost Dens III,24,24,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,The End Is Nigh,25,25,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Dis 2000,26,26,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Resistance Remains,27,27,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Beyond The Sea,28,28,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Hell's Cauldron,29,29,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Source Control,30,30,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,The Descent II,31,31,false
Hell Revealed II,DOOM2.WAD,hr2final.wad,3,2003-12-00,Hell Revealed 2,1,Playground,32,32,false
