game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,First Assault,1,1,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Rural Mini-Base,2,2,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,The Sign of Armageddon,3,3,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Thaumasia,4,4,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Woodexial,5,5,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Riminshi Valley,6,6,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Confused Arena,7,7,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,54-pit,8,8,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,The Three World,9,9,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,The Odd Encampment,10,10,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,My Fav,11,11,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Magnetic Force Apparatus,12,12,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Bad Morning,13,13,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,G_T_Factory,14,14,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Nandeyanen,15,15,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Forlorn Defense Line,16,16,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,UAC Energy Plant,17,17,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Space Port Panik,18,18,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Remind,19,19,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Escape from UAC Space Base,20,20,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Search and Destroy,21,21,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,A Den of Vice,22,22,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Thermal Disposal Place,23,23,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Probably Maybe Certainly,24,24,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Cakravartins Miscalculation,25,25,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Embodiment of Maliciousness,26,26,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,A Resplendent Emerald Green,27,27,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,HeLLport,28,28,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Hazmat Hazama,29,29,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Every Beginning Has an End,30,30,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Manufacturing Plant,31,31,false
Japanese Community Project,DOOM2.WAD,JPCP.wad,2,2019-07-16,Japanese Community Project,1,Blood Fund Gang,32,32,false
