game_name,iwad,pwad,complevel,release_date,episode_name,episode_number,mission_name,mission_number,level_number,is_secret
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Exodus,1,1,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Cashews,2,2,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Island of Mystery,3,3,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Pure Hate,4,4,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Fortress of Damnation,5,5,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Trifling,6,6,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Simply Dead,7,7,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Tingsryd,8,8,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Core Annihilation,9,9,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Total Recall,10,10,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Warborn,11,11,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Damnation,12,12,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Unleash the Fire,13,13,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Damned Legion,14,14,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Doomherolandia,15,15,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Twobox,16,16,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Electric Wizard,17,17,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Last Cup of Sorrow,18,18,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Split Wide Open,19,19,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,True Grit,20,20,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Walk With Me in Hell,21,21,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Royale Arena,22,22,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Castle Lava,23,23,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Bane's Atrium,24,24,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Fourtress,25,25,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Crimson,26,26,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Decimal Error,27,27,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Slaughterstein,28,28,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Degrassi,29,29,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Anathema,30,30,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,sworf,31,31,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Brookhaven Hospital,32,32,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,BoomTown,33,33,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,Hard Contact,34,34,false
Slaughterfest 2012,DOOM2.WAD,SF2012_final.wad,9,2013-07-30,Episode 1,1,KSP,35,35,false
